Time,Failures
0,4
2,9
9,11
14,13
16,16
17,19
18,21
21,22
22,24
23,25
24,28
25,30
29,31
30,36
32,39
34,40
36,41
37,42
38,45
39,47
42,50
43,56
45,57
49,58
50,59
51,60
52,62
57,63
59,66
60,69
66,73
67,74
70,76
71,77
72,81
73,83
74,85
77,86
78,91
79,92
80,93
81,94
82,96
84,99
85,104
86,108
87,110
88,112
89,115
91,121
92,125
93,130
95,133
99,136
100,138
102,144
103,145
105,148
106,149
107,156
108,160
109,162
113,173
114,177
115,187
116,192
117,196
118,197
119,204
120,213
121,217
122,224
123,227
126,228
127,233
128,237
129,239
130,241
133,245
134,249
135,255
136,257
137,264
138,266
140,269
141,273
142,284
143,294
144,297
145,307
146,309
147,318
148,322
149,328
150,335
151,343
152,354
153,361
154,367
155,384
156,386
157,390
158,391
160,392
161,394
162,402
163,410
164,414
165,421
166,423
167,428
168,438
169,441
170,450
171,461
172,474
173,483
175,494
176,498
177,506
178,521
179,526
182,531
183,539
184,549
185,554
188,555
189,565
190,583
191,590
192,600
193,615
194,616
196,621
197,626
198,643
199,647
200,659
201,661
203,663
204,668
205,674
206,680
207,688
210,692
209,693
210,704
211,710
212,722
213,734
214,740
215,742
217,765
218,767
219,775
252,776
253,789
254,794
255,799
256,815
259,824
260,841
261,846
262,857
263,860
264,862
265,863
266,877
267,882
268,889
269,894
274,895
275,904
277,905
281,909
282,920
283,931
284,938
285,947
286,948
287,959
288,968
289,986
290,991
291,1000
292,1002
294,1020
295,1027
296,1036
297,1046
298,1053
299,1054
300,1055
301,1058
302,1066
303,1074
304,1079
305,1085
306,1086
307,1089
308,1093
309,1100
