Time,Failures
0,1
89,2
158,4
159,7
160,11
161,12
165,15
166,16
167,17
172,18
175,21
176,27
178,28
179,31
180,36
181,41
182,50
183,51
186,55
187,59
188,63
189,67
190,68
191,72
193,74
194,78
195,79
196,80
197,81
208,84
294,85
295,86
298,89
300,90
305,92
306,94
307,96
308,99
309,100
312,121
313,127
314,129
319,133
320,136
321,139
322,145
323,146
325,149
326,153
327,161
328,162
330,164
333,171
334,173
335,175
336,180
340,186
345,188
347,189
348,190
349,195
356,196
357,199
358,206
361,210
362,212
363,215
364,225
365,226
366,229
368,231
369,235
370,236
371,237
372,242
376,246
377,248
378,249
379,253
382,256
384,261
386,262
390,263
405,264
407,265
411,266
418,268
428,269
431,271
435,272
436,273
438,274
440,275
453,276
454,277
456,278
457,280
460,286
463,287
464,293
466,294
467,295
469,297
474,299
477,300
480,302
481,303
482,304
483,306
488,310
489,311
490,313
496,314
498,319
499,320
502,322
503,323
505,327
506,328
509,330
510,332
511,334
515,335
516,336
517,341
518,343
519,344
522,346
524,349
525,354
529,361
530,362
531,364
532,374
533,376
536,380
537,382
538,384
539,394
540,402
543,415
544,418
545,419
546,422
547,424
550,425
551,427
552,428
554,429
557,430
573,432
574,433
576,434
586,435
596,436
602,438
609,441
610,446
613,447
614,455
615,456
615,460
620,462
621,466
622,470
623,471
627,473
628,476
629,479
631,481
638,482
641,486
648,488
649,489
650,490
651,494
653,495
656,497
662,503
664,511
666,516
670,520
675,521
678,523
683,527
684,531
690,532
691,533
693,534
698,535
699,537
700,541
702,542
704,543
705,544
713,545
714,546
718,550
719,551
720,552
721,553
722,554
723,555
724,556
726,558
727,560
728,561
729,564
730,567
731,568
733,570
736,575
739,577
740,578
741,579
742,581
743,582
744,585
746,588
747,589
748,591
749,592
750,593
753,596
756,598
757,600
761,602
762,607
763,610
764,613
767,614
768,620
769,625
770,628
771,629
775,631
776,633
777,636
782,643
783,646
785,649
786,650
788,672
789,674
790,676
791,677
792,678
795,683
796,687
797,689
798,692
799,696
802,698
803,700
804,701
805,702
807,703
809,705
810,710
812,716
813,722
815,723
816,731
817,733
818,740
819,744
820,747
823,752
824,755
825,757
827,759
828,764
829,765
830,772
831,782
832,796
833,799
834,801
835,802
837,808
838,816
839,821
840,827
841,829
842,831
843,833
844,837
845,850
846,860
847,863
848,864
849,865
851,871
852,875
853,879
855,886
856,888
858,889
859,896
860,903
861,908
862,909
865,913
866,918
867,923
868,925
873,926
874,933
875,937
876,943
877,948
879,951
880,953
881,956
882,958
883,962
884,964
886,966
887,968
888,971
889,976
890,984
893,986
894,990
895,991
896,996
897,998
901,1000
902,1003
903,1005
904,1013
906,1014
907,1016
908,1020
909,1022
911,1024
913,1025
914,1029
915,1030
916,1033
917,1034
918,1035
920,1039
921,1042
922,1044
923,1049
929,1050
931,1053
932,1057
936,1058
937,1061
942,1063
943,1064
944,1066
945,1070
952,1071
958,1075
959,1076
960,1078
963,1086
964,1088
965,1090
966,1091
970,1092
971,1093
972,1094
973,1095
974,1098
976,1099
977,1100
979,1101
980,1103
982,1104
985,1109
986,1111
987,1119
988,1123
991,1126
993,1127
994,1128
995,1130
999,1141
1001,1145
1002,1146
1005,1147
1006,1151
1008,1154
1009,1162
1010,1163
1011,1164
1012,1168
1013,1169
1014,1173
1015,1179
1016,1182
1017,1185
1020,1186
1021,1187
1022,1190
1023,1193
1026,1196
1027,1199
1029,1200
1033,1204
1034,1210
1035,1213
1036,1218
1037,1221
