Time,Failures
0,3
1,5
4,9
5,16
6,21
7,22
8,23
11,25
12,28
18,30
19,32
20,33
21,38
27,39
28,40
32,41
35,42
36,45
43,46
49,47
53,48
61,49
81,50
105,51
118,52
125,58
132,62
137,63
141,64
146,65
151,66
154,67
165,68
166,72
168,74
172,77
174,82
175,83
176,85
180,89
181,91
182,92
188,95
193,96
195,97
196,98
200,101
207,102
210,103
224,105
225,106
230,108
232,115
237,118
238,121
239,124
242,127
243,152
244,156
245,159
249,165
250,168
251,170
252,173
253,175
256,177
257,187
258,190
259,196
260,203
263,205
264,211
265,217
267,226
270,233
271,236
273,243
277,249
278,253
279,260
280,263
281,266
284,268
285,272
286,277
287,284
288,287
292,288
293,296
294,297
295,308
298,315
299,320
300,325
305,333
307,338
308,339
309,343
312,350
313,354
314,360
315,362
316,376
319,380
320,385
321,394
322,399
323,404
326,412
327,415
328,419
333,420
334,422
335,426
340,429
341,436
342,442
343,448
345,459
346,464
347,471
348,473
349,476
350,481
351,486
354,489
355,496
356,504
357,515
358,521
360,524
361,527
362,533
363,541
364,543
365,547
368,554
369,557
370,565
371,568
372,574
375,581
376,584
377,598
378,603
379,605
382,609
383,611
385,621
386,623
388,625
389,628
390,631
391,633
392,645
393,648
396,651
397,654
398,658
399,664
400,670
403,674
404,676
405,682
406,688
407,692
410,696
411,700
412,701
413,704
414,710
418,713
419,715
421,721
425,722
426,724
431,726
432,727
434,730
438,732
440,735
441,736
442,741
445,743
449,746
452,747
459,753
469,754
470,756
473,757
474,760
476,761
477,763
481,764
482,765
484,766
494,767
495,769
496,770
