Time,Failures
0,1
87,2
233,4
251,5
253,6
255,7
256,9
257,10
261,11
262,13
268,14
269,15
273,16
274,17
276,18
277,19
278,21
281,24
283,26
284,29
286,30
289,33
291,34
294,36
299,37
301,38
302,39
303,40
304,41
305,42
306,44
307,45
309,46
312,47
314,48
317,49
320,50
329,54
330,56
331,60
333,63
336,65
338,67
339,68
344,69
346,70
357,71
362,72
367,73
368,74
370,75
378,76
399,77
401,79
406,80
411,81
413,82
414,83
420,84
422,85
428,86
433,87
435,90
436,91
438,92
444,93
448,94
450,95
452,97
455,98
462,99
462,100
463,101
465,102
469,106
470,107
471,108
472,109
478,110
480,112
482,113
484,114
485,116
490,117
495,118
497,119
507,120
510,121
514,123
516,124
519,125
530,126
533,127
534,128
535,129
546,130
559,131
561,135
564,137
571,138
583,139
589,140
592,143
597,144
599,145
608,146
625,147
636,148
649,159
653,160
656,161
678,163
681,164
688,165
703,166
